user,pro bjp ratio,pro congress ratio,anti bjp ratio,anti congress ratio,percent of hashtags used,number of annotated hashtags,not neutral,total hashtags
130783459,0.9186046511627907,0.0,0.0,0.06976744186046512,0.40865384615384615,85,207,568
4862260460,0.9885714285714285,0.0,0.0,0.005714285714285714,0.7280334728033473,174,238,407
1577268566,0.0,0.0,0.5,0.0,0.03225806451612903,1,30,56
320729956,0.8571428571428571,0.0,0.0,0.0,0.42857142857142855,6,13,42
2457023834,0.9285714285714286,0.0,0.0,0.03571428571428571,0.35526315789473684,27,75,172
2663710266,0.9444444444444444,0.0,0.0,0.0,0.3090909090909091,17,54,93
135850213,0.9166666666666666,0.0,0.0,0.041666666666666664,0.359375,23,63,109
3667793249,0.9696969696969697,0.0,0.0,0.0,0.5614035087719298,32,56,96
4835595618,0.0,0.0,0.5,0.0,0.025,1,39,82
1101851951438782466,0.75,0.0,0.0,0.0,0.23076923076923078,3,12,22
4444558694,0.7142857142857143,0.0,0.14285714285714285,0.0,0.3,6,19,45
4874563225,0.9130434782608695,0.0,0.0,0.0782608695652174,0.3986013986013986,114,285,499
795306742028664836,0.3076923076923077,0.0,0.6538461538461539,0.0,0.05980861244019139,25,417,708
513103210,0.6666666666666666,0.0,0.0,0.0,0.13333333333333333,2,14,27
836478108672929792,0.9444444444444444,0.0,0.0,0.0,0.5862068965517241,17,28,65
634303852,0.8955223880597015,0.0,0.0,0.08955223880597014,0.42038216560509556,66,156,310
798567589949612032,0.9666666666666667,0.0,0.0,0.016666666666666666,0.472,59,124,232
728890476041011200,0.8181818181818182,0.0,0.0,0.1590909090909091,0.36752136752136755,43,116,239
786559891,0.8,0.0,0.0,0.1,0.3333333333333333,9,26,46
2387295806,0.0,0.0,0.5,0.0,0.14285714285714285,1,6,15
140703094,0.8928571428571429,0.0,0.0,0.07142857142857142,0.40298507462686567,27,66,125
920182333377937408,0.0,0.0,0.6666666666666666,0.0,0.028169014084507043,2,70,189
628938109,0.9245283018867925,0.0,0.0,0.05660377358490566,0.35374149659863946,52,146,247
1105854781015285760,0.7777777777777778,0.0,0.1111111111111111,0.0,0.36363636363636365,8,21,43
15848832,0.6153846153846154,0.0,0.34615384615384615,0.0,0.28735632183908044,25,86,191
786142415950262273,0.9444444444444444,0.0,0.0,0.0,0.4857142857142857,17,34,60
910112991034486784,0.0,0.0,0.5,0.0,0.07692307692307693,1,12,21
3101473003,0.4,0.0,0.4,0.0,0.4444444444444444,4,8,22
1112243351846350849,0.9608938547486033,0.0,0.00558659217877095,0.027932960893854747,0.5071225071225072,178,350,560
927083817051009024,0.6363636363636364,0.0,0.2727272727272727,0.0,0.30303030303030304,10,32,56
1103691109547606018,0.16666666666666666,0.0,0.6666666666666666,0.0,0.23809523809523808,5,20,29
4465792394,0.9682539682539683,0.0,0.0,0.015873015873015872,0.62,62,99,182
283512386,0.6744186046511628,0.0,0.011627906976744186,0.3023255813953488,0.38461538461538464,85,220,369
158782863,0.8953488372093024,0.0,0.0,0.09302325581395349,0.4594594594594595,85,184,380
930147838914265088,0.02702702702702703,0.0,0.918918918918919,0.02702702702702703,0.12121212121212122,36,296,672
1105831583678980097,0.9583333333333334,0.0,0.0,0.0,0.1393939393939394,23,164,348
986665976962760704,0.9147286821705426,0.0,0.0,0.07751937984496124,0.43097643097643096,128,296,479
248113390,0.5,0.0,0.0,0.0,0.017543859649122806,1,56,95
1032935036339683329,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,2,5,9
68687255,0.0,0.0,0.6666666666666666,0.0,0.1,2,19,44
3854480987,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,2,5,11
1219605913,0.9565217391304348,0.0,0.0,0.0,0.057441253263707574,22,382,1065
2819077531,0.98,0.0,0.0,0.01,0.5351351351351351,99,184,410
3306739100,0.9254658385093167,0.0,0.012422360248447204,0.055900621118012424,0.47477744807121663,160,336,613
2169586586,0.9230769230769231,0.0,0.0,0.0,0.10526315789473684,12,113,234
909433523240566784,0.29411764705882354,0.0,0.6470588235294118,0.0,0.3333333333333333,16,47,110
3026059039,0.0,0.0,0.0,0.0,0.0,0,1,10
4891502832,0.8888888888888888,0.0,0.0,0.07407407407407407,0.4126984126984127,26,62,108
78222755,0.2857142857142857,0.0,0.6428571428571429,0.0,0.18309859154929578,13,70,184
989227837906399233,0.9797297297297297,0.0,0.0,0.013513513513513514,0.4523076923076923,147,324,519
938998396576194560,0.0,0.0,0.5,0.0,0.02857142857142857,1,34,63
3236795814,0.9755244755244755,0.0,0.0034965034965034965,0.017482517482517484,0.515370705244123,285,552,1023
830340451806752768,0.8865979381443299,0.0,0.0,0.10309278350515463,0.3855421686746988,96,248,352
47633833,0.0,0.0,0.9375,0.0,0.3409090909090909,15,43,96
808957898290331648,0.3333333333333333,0.0,0.3333333333333333,0.0,0.022988505747126436,2,86,116
3300685022,0.9473684210526315,0.0,0.0,0.03508771929824561,0.3916083916083916,56,142,281
578590130,0.375,0.0,0.5,0.0,0.1590909090909091,7,43,81
757192315295236097,0.9416666666666667,0.0,0.0,0.05,0.6329787234042553,119,187,286
28554678,0.7,0.0,0.1,0.1,0.375,9,23,35
520009144,0.9354838709677419,0.0,0.0,0.03225806451612903,0.38961038961038963,30,76,133
195032617,0.9473684210526315,0.0,0.0,0.0,0.22784810126582278,18,78,212
605492127,0.9333333333333333,0.0,0.0,0.0,0.4666666666666667,14,29,52
1087220141392158720,0.8163265306122449,0.0,0.0,0.16326530612244897,0.24870466321243523,48,192,416
2583492030,0.25,0.0,0.5,0.0,0.00847457627118644,3,353,565
1028274610750468098,0.8571428571428571,0.0,0.0,0.11904761904761904,0.6307692307692307,41,64,110
2824181184,0.0,0.0,0.75,0.0,0.05660377358490566,3,52,135
780723207963750400,0.7368421052631579,0.0,0.02631578947368421,0.21052631578947367,0.19170984455958548,37,192,343
706515121573474305,0.8676470588235294,0.0,0.0,0.11764705882352941,0.23344947735191637,67,286,623
2723304901,0.0,0.0,0.8,0.0,0.1,4,39,93
1006026422006059009,0.9820359281437125,0.0,0.0,0.011976047904191617,0.11584089323098395,166,1432,3207
201659850,0.9342105263157895,0.0,0.0,0.05263157894736842,0.6198347107438017,75,120,228
1030120160508694528,0.25,0.0,0.5,0.0,0.036585365853658534,3,81,199
103503310,0.7647058823529411,0.0,0.0,0.17647058823529413,0.2222222222222222,16,71,138
1091661207373676545,0.9557522123893806,0.0,0.0,0.035398230088495575,0.42748091603053434,112,261,583
2476365194,0.2,0.0,0.6,0.0,0.12121212121212122,4,32,98
111302098,0.9,0.0,0.0,0.0,0.08411214953271028,9,106,271
1031458668808556544,0.3333333333333333,0.0,0.3333333333333333,0.0,0.02666666666666667,2,74,187
798750164,0.896774193548387,0.0,0.0064516129032258064,0.09032258064516129,0.40848806366047746,154,376,790
85775830,0.5714285714285714,0.0,0.2857142857142857,0.0,0.07407407407407407,6,80,229
1593447895,0.8888888888888888,0.0,0.0,0.0,0.25,8,31,85
1126010793231650816,0.9,0.0,0.0,0.06666666666666667,0.30526315789473685,29,94,199
1175237540,0.875,0.0,0.0,0.0,0.5833333333333334,7,11,19
2356860379,0.14285714285714285,0.0,0.7142857142857143,0.0,0.1875,6,31,64
4245616094,0.875,0.0,0.0,0.0625,0.35714285714285715,15,41,67
1037184679680585731,0.9405940594059405,0.0,0.0,0.04950495049504951,0.3937007874015748,100,253,506
405427681,0.0,0.0,0.0,0.0,0.0,0,29,106
1083780991800377346,0.8333333333333334,0.0,0.0,0.1111111111111111,0.5666666666666667,17,29,56
837666693065367554,0.8823529411764706,0.0,0.0,0.058823529411764705,0.2318840579710145,16,68,144
409985958,0.25,0.0,0.5,0.0,0.3,3,9,29
379546509,0.5,0.0,0.0,0.0,0.045454545454545456,1,21,46
949649294247714816,0.16393442622950818,0.0,0.8278688524590164,0.0,0.30174563591022446,121,400,833
32388588,0.08333333333333333,0.0,0.8333333333333334,0.0,0.36666666666666664,11,29,58
4331197934,0.0,0.0,0.0,0.0,0.0,0,16,42
156505583,0.25,0.0,0.5,0.0,0.061224489795918366,3,48,113
1696003568,0.0,0.0,0.75,0.0,0.10714285714285714,3,27,56
1127695272,0.0,0.0,0.75,0.0,0.07894736842105263,3,37,83
314398195,0.1276595744680851,0.0,0.851063829787234,0.0,0.13142857142857142,46,349,645
794244596,0.9961832061068703,0.0,0.0,0.0028625954198473282,0.7017426273458445,1047,1491,1761
2977068534,0.9137931034482759,0.0,0.020689655172413793,0.06206896551724138,0.43655589123867067,289,661,919
897350289254105088,0.9464285714285714,0.0,0.008928571428571428,0.041666666666666664,0.32088122605363983,335,1043,2113
779284616981188608,0.3125,0.0,0.5625,0.0625,0.17045454545454544,15,87,235
723408009427193856,0.8421052631578947,0.0,0.0,0.10526315789473684,0.5294117647058824,18,33,74
990751931092975616,0.3333333333333333,0.0,0.3333333333333333,0.0,0.07142857142857142,2,27,87
1067622921487769602,0.9732441471571907,0.0,0.0,0.023411371237458192,0.6157024793388429,298,483,956
67835392,0.9285714285714286,0.0,0.0,0.0,0.14772727272727273,13,87,226
230471172,0.7777777777777778,0.0,0.0,0.1111111111111111,0.36363636363636365,8,21,43
470808069,0.16666666666666666,0.0,0.6666666666666666,0.0,0.2,5,24,82
840883064528093184,0.9642857142857143,0.0,0.0,0.017857142857142856,0.23809523809523808,55,230,342
975090665506840576,0.8888888888888888,0.0,0.0,0.05555555555555555,0.5666666666666667,17,29,43
991232901307039744,0.0,0.0,0.0,0.0,0.0,0,3,12
714125914271911936,0.1875,0.0,0.75,0.0,0.13392857142857142,15,111,210
801376547672203264,0.9545454545454546,0.0,0.0,0.0,0.2625,21,79,104
2479871502,0.9428571428571428,0.0,0.0,0.02857142857142857,0.425,34,79,182
388355599,0.8888888888888888,0.0,0.0,0.08333333333333333,0.38461538461538464,35,90,175
90895888,0.4,0.0,0.4,0.0,0.08888888888888889,4,44,89
225470835,0.9911504424778761,0.0,0.0,0.0,0.1382716049382716,112,809,1502
372332051,0.0,0.0,0.5,0.0,0.058823529411764705,1,16,53
947770029029736448,0.6666666666666666,0.0,0.0,0.0,0.03125,2,63,108
